year,count,disease_id,disease_name,gender,interest,deaths,population,crude_rate
2004,116,ms,Multiple Sclerosis,women,0.0,2219.0,148977286.0,1.5
2005,96,ms,Multiple Sclerosis,women,0.0,2360.0,150319521.0,1.6
2006,100,ms,Multiple Sclerosis,women,4.416666666666667,2257.0,151732647.0,1.5
2007,105,ms,Multiple Sclerosis,women,0.0,2393.0,153166353.0,1.6
2008,130,ms,Multiple Sclerosis,women,2.5833333333333335,2473.0,154604015.0,1.6
2009,151,ms,Multiple Sclerosis,women,30.0,2427.0,155964075.0,1.6
2010,128,ms,Multiple Sclerosis,women,54.833333333333336,2388.0,156964212.0,1.5
2011,151,ms,Multiple Sclerosis,women,31.75,2453.0,158301098.0,1.5
2012,162,ms,Multiple Sclerosis,women,23.916666666666668,2501.0,159421973.0,1.6
2013,205,ms,Multiple Sclerosis,women,24.833333333333332,2591.0,160477237.0,1.6
2014,238,ms,Multiple Sclerosis,women,7.75,2690.0,161920569.0,1.7
2015,244,ms,Multiple Sclerosis,women,8.416666666666666,2768.0,163189523.0,1.7
2016,221,ms,Multiple Sclerosis,women,6.416666666666667,2779.0,164048590.0,1.7
2017,234,ms,Multiple Sclerosis,women,7.0,,,
2018,279,ms,Multiple Sclerosis,women,9.5,,,
2019,269,ms,Multiple Sclerosis,women,8.166666666666666,,,
2020,329,ms,Multiple Sclerosis,women,8.916666666666666,,,
2021,293,ms,Multiple Sclerosis,women,12.0,,,
2022,303,ms,Multiple Sclerosis,women,14.416666666666666,,,
2023,298,ms,Multiple Sclerosis,women,14.666666666666666,,,
2024,308,ms,Multiple Sclerosis,women,18.666666666666668,,,
2025,179,ms,Multiple Sclerosis,women,24.88888888888889,,,
2004,49,ms,Multiple Sclerosis,men,0.0,1105.0,143828012.0,0.8
2005,26,ms,Multiple Sclerosis,men,0.0,1127.0,145197078.0,0.8
2006,34,ms,Multiple Sclerosis,men,0.0,1189.0,146647265.0,0.8
2007,36,ms,Multiple Sclerosis,men,0.0,1214.0,148064854.0,0.8
2008,35,ms,Multiple Sclerosis,men,0.0,1228.0,149489951.0,0.8
2009,50,ms,Multiple Sclerosis,men,0.0,1261.0,150807454.0,0.8
2010,41,ms,Multiple Sclerosis,men,0.0,1265.0,151781326.0,0.8
2011,50,ms,Multiple Sclerosis,men,24.666666666666668,1286.0,153290819.0,0.8
2012,69,ms,Multiple Sclerosis,men,32.666666666666664,1305.0,154492067.0,0.8
2013,72,ms,Multiple Sclerosis,men,48.75,1291.0,155651602.0,0.8
2014,78,ms,Multiple Sclerosis,men,32.583333333333336,1484.0,156936487.0,0.9
2015,86,ms,Multiple Sclerosis,men,4.833333333333333,1430.0,158229297.0,0.9
2016,77,ms,Multiple Sclerosis,men,6.666666666666667,1421.0,159078923.0,0.9
2017,72,ms,Multiple Sclerosis,men,25.75,,,
2018,85,ms,Multiple Sclerosis,men,27.166666666666668,,,
2019,76,ms,Multiple Sclerosis,men,27.0,,,
2020,86,ms,Multiple Sclerosis,men,27.5,,,
2021,72,ms,Multiple Sclerosis,men,34.166666666666664,,,
2022,73,ms,Multiple Sclerosis,men,40.0,,,
2023,62,ms,Multiple Sclerosis,men,47.5,,,
2024,70,ms,Multiple Sclerosis,men,55.083333333333336,,,
2025,44,ms,Multiple Sclerosis,men,72.11111111111111,,,
2004,33,hashimoto,Hashimoto Thyroiditis,women,0.0,10.0,148977286.0,
2005,30,hashimoto,Hashimoto Thyroiditis,women,0.0,,150319521.0,
2006,47,hashimoto,Hashimoto Thyroiditis,women,0.0,,151732647.0,
2007,31,hashimoto,Hashimoto Thyroiditis,women,0.0,,153166353.0,
2008,36,hashimoto,Hashimoto Thyroiditis,women,0.0,10.0,154604015.0,
2009,33,hashimoto,Hashimoto Thyroiditis,women,0.0,,155964075.0,
2010,53,hashimoto,Hashimoto Thyroiditis,women,0.0,,156964212.0,
2011,53,hashimoto,Hashimoto Thyroiditis,women,0.0,14.0,158301098.0,
2012,59,hashimoto,Hashimoto Thyroiditis,women,0.0,15.0,159421973.0,
2013,60,hashimoto,Hashimoto Thyroiditis,women,5.5,18.0,160477237.0,
2014,57,hashimoto,Hashimoto Thyroiditis,women,0.0,15.0,161920569.0,
2015,68,hashimoto,Hashimoto Thyroiditis,women,0.0,12.0,163189523.0,
2016,57,hashimoto,Hashimoto Thyroiditis,women,0.0,14.0,164048590.0,
2017,52,hashimoto,Hashimoto Thyroiditis,women,0.0,,,
2018,51,hashimoto,Hashimoto Thyroiditis,women,8.5,,,
2019,61,hashimoto,Hashimoto Thyroiditis,women,9.25,,,
2020,57,hashimoto,Hashimoto Thyroiditis,women,15.75,,,
2021,77,hashimoto,Hashimoto Thyroiditis,women,13.5,,,
2022,67,hashimoto,Hashimoto Thyroiditis,women,13.083333333333334,,,
2023,66,hashimoto,Hashimoto Thyroiditis,women,34.75,,,
2024,65,hashimoto,Hashimoto Thyroiditis,women,50.083333333333336,,,
2025,42,hashimoto,Hashimoto Thyroiditis,women,64.33333333333333,,,
2004,3,hashimoto,Hashimoto Thyroiditis,men,0.0,,143828012.0,
2005,4,hashimoto,Hashimoto Thyroiditis,men,0.0,,145197078.0,
2006,14,hashimoto,Hashimoto Thyroiditis,men,0.0,,146647265.0,
2007,7,hashimoto,Hashimoto Thyroiditis,men,0.0,,148064854.0,
2008,6,hashimoto,Hashimoto Thyroiditis,men,0.0,,149489951.0,
2009,5,hashimoto,Hashimoto Thyroiditis,men,0.0,,150807454.0,
2010,10,hashimoto,Hashimoto Thyroiditis,men,0.0,,151781326.0,
2011,8,hashimoto,Hashimoto Thyroiditis,men,0.0,,153290819.0,
2012,9,hashimoto,Hashimoto Thyroiditis,men,0.0,,154492067.0,
2013,8,hashimoto,Hashimoto Thyroiditis,men,0.0,,155651602.0,
2014,8,hashimoto,Hashimoto Thyroiditis,men,0.0,,156936487.0,
2015,9,hashimoto,Hashimoto Thyroiditis,men,0.0,,158229297.0,
2016,7,hashimoto,Hashimoto Thyroiditis,men,0.0,,159078923.0,
2017,4,hashimoto,Hashimoto Thyroiditis,men,6.833333333333333,,,
2018,10,hashimoto,Hashimoto Thyroiditis,men,0.0,,,
2019,13,hashimoto,Hashimoto Thyroiditis,men,0.0,,,
2020,9,hashimoto,Hashimoto Thyroiditis,men,6.333333333333333,,,
2021,13,hashimoto,Hashimoto Thyroiditis,men,15.0,,,
2022,13,hashimoto,Hashimoto Thyroiditis,men,22.5,,,
2023,4,hashimoto,Hashimoto Thyroiditis,men,12.416666666666666,,,
2024,5,hashimoto,Hashimoto Thyroiditis,men,0.0,,,
2025,7,hashimoto,Hashimoto Thyroiditis,men,33.22222222222222,,,
2004,193,ra,Rheumatoid Arthritis,women,0.0,1957.0,148977286.0,1.3
2005,254,ra,Rheumatoid Arthritis,women,0.0,1930.0,150319521.0,1.3
2006,273,ra,Rheumatoid Arthritis,women,0.0,1891.0,151732647.0,1.2
2007,271,ra,Rheumatoid Arthritis,women,0.0,1844.0,153166353.0,1.2
2008,264,ra,Rheumatoid Arthritis,women,0.0,1981.0,154604015.0,1.3
2009,276,ra,Rheumatoid Arthritis,women,7.916666666666667,1764.0,155964075.0,1.1
2010,352,ra,Rheumatoid Arthritis,women,29.083333333333332,1854.0,156964212.0,1.2
2011,338,ra,Rheumatoid Arthritis,women,69.41666666666667,1916.0,158301098.0,1.2
2012,332,ra,Rheumatoid Arthritis,women,57.666666666666664,1851.0,159421973.0,1.2
2013,347,ra,Rheumatoid Arthritis,women,54.916666666666664,1817.0,160477237.0,1.1
2014,379,ra,Rheumatoid Arthritis,women,25.0,1663.0,161920569.0,1.0
2015,416,ra,Rheumatoid Arthritis,women,28.0,1703.0,163189523.0,1.0
2016,398,ra,Rheumatoid Arthritis,women,18.416666666666668,1660.0,164048590.0,1.0
2017,396,ra,Rheumatoid Arthritis,women,27.416666666666668,,,
2018,407,ra,Rheumatoid Arthritis,women,26.666666666666668,,,
2019,438,ra,Rheumatoid Arthritis,women,24.25,,,
2020,442,ra,Rheumatoid Arthritis,women,25.083333333333332,,,
2021,453,ra,Rheumatoid Arthritis,women,32.916666666666664,,,
2022,437,ra,Rheumatoid Arthritis,women,41.5,,,
2023,416,ra,Rheumatoid Arthritis,women,41.666666666666664,,,
2024,387,ra,Rheumatoid Arthritis,women,54.833333333333336,,,
2025,247,ra,Rheumatoid Arthritis,women,66.33333333333333,,,
2004,55,ra,Rheumatoid Arthritis,men,0.0,600.0,143828012.0,0.4
2005,86,ra,Rheumatoid Arthritis,men,0.0,590.0,145197078.0,0.4
2006,71,ra,Rheumatoid Arthritis,men,0.0,583.0,146647265.0,0.4
2007,64,ra,Rheumatoid Arthritis,men,0.0,569.0,148064854.0,0.4
2008,53,ra,Rheumatoid Arthritis,men,0.0,602.0,149489951.0,0.4
2009,73,ra,Rheumatoid Arthritis,men,8.333333333333334,516.0,150807454.0,0.3
2010,89,ra,Rheumatoid Arthritis,men,0.0,548.0,151781326.0,0.4
2011,90,ra,Rheumatoid Arthritis,men,0.0,555.0,153290819.0,0.4
2012,92,ra,Rheumatoid Arthritis,men,16.416666666666668,542.0,154492067.0,0.4
2013,80,ra,Rheumatoid Arthritis,men,22.833333333333332,556.0,155651602.0,0.4
2014,67,ra,Rheumatoid Arthritis,men,3.6666666666666665,557.0,156936487.0,0.4
2015,67,ra,Rheumatoid Arthritis,men,0.0,533.0,158229297.0,0.3
2016,73,ra,Rheumatoid Arthritis,men,8.583333333333334,563.0,159078923.0,0.4
2017,61,ra,Rheumatoid Arthritis,men,9.25,,,
2018,84,ra,Rheumatoid Arthritis,men,16.333333333333332,,,
2019,80,ra,Rheumatoid Arthritis,men,6.583333333333333,,,
2020,68,ra,Rheumatoid Arthritis,men,12.916666666666666,,,
2021,79,ra,Rheumatoid Arthritis,men,11.5,,,
2022,55,ra,Rheumatoid Arthritis,men,22.833333333333332,,,
2023,66,ra,Rheumatoid Arthritis,men,20.083333333333332,,,
2024,70,ra,Rheumatoid Arthritis,men,27.583333333333332,,,
2025,38,ra,Rheumatoid Arthritis,men,47.111111111111114,,,
